label_date,daily_commit_count,y_is_vcc,vcc_commit_count,subsystems_changed,directories_changed,files_changed,lines_added,lines_deleted,ndev,nuc,total_prev_loc,entropy,age,exp,rexp,sexp,is_bug_fix,VCC_s1_nb_added_sizeof,VCC_s2_nb_removed_sizeof,VCC_s3_diff_sizeof,VCC_s4_sum_sizeof,VCC_s5_nb_added_continue,VCC_s6_nb_removed_continue,VCC_s7_nb_added_break,VCC_s8_nb_removed_break,VCC_s9_nb_added_INTMAX,VCC_s10_nb_removed_INTMAX,VCC_s11_nb_added_goto,VCC_s12_nb_removed_goto,VCC_s13_nb_added_define,VCC_s14_nb_removed_define,VCC_s15_nb_added_struct,VCC_s16_nb_removed_struct,VCC_s17_diff_struct,VCC_s18_sum_struct,VCC_s19_nb_added_offset,VCC_s20_nb_removed_offset,VCC_s21_nb_added_void,VCC_s22_nb_removed_void,VCC_s23_diff_void,VCC_s24_sum_void,VCC_f1_sum_file_change,VCC_f2_nb_added_loop,VCC_f3_nb_removed_loop,VCC_f4_diff_loop,VCC_f5_sum_loop,VCC_f6_nb_added_if,VCC_f7_nb_removed_if,VCC_f8_diff_if,VCC_f9_sum_if,VCC_f10_nb_added_line,VCC_f11_nb_removed_line,VCC_f12_diff_line,VCC_f13_sum_line,VCC_f14_nb_added_paren,VCC_f15_nb_removed_paren,VCC_f16_diff_paren,VCC_f17_sum_paren,VCC_f18_nb_added_bool,VCC_f19_nb_removed_bool,VCC_f20_diff_bool,VCC_f21_sum_bool,VCC_f22_nb_added_assignement,VCC_f23_nb_removed_assignement,VCC_f24_diff_assignement,VCC_f25_sum_assignement,VCC_f26_nb_added_function,VCC_f27_nb_removed_function,VCC_f28_diff_function,VCC_f29_sum_function,VCC_w1,VCC_w2,VCC_w3,VCC_w4,VCC_w5,VCC_w6,VCC_w7,VCC_w8,VCC_w9,VCC_w10,changed_files_past_vcc_any_ever,changed_files_past_vcc_any_30d,changed_files_past_vcc_any_90d,changed_files_past_vcc_any_180d,changed_files_past_vcc_count_ever,changed_files_past_vcc_count_30d,changed_files_past_vcc_count_90d,changed_files_past_vcc_count_180d,changed_files_past_vcc_file_ratio_ever,changed_files_time_since_last_vcc_min,project_total_function_percent,project_total_line_percent,project_total_region_percent,project_total_branch_percent,project_total_instantiation_percent,patch_coverage_recalculated,project_total_function_percent_delta,project_total_line_percent_delta,project_total_region_percent_delta,project_total_branch_percent_delta,project_total_instantiation_percent_delta,project_total_function_covered,project_total_function_count,project_total_line_covered,project_total_line_count,project_total_region_covered,project_total_region_count,project_total_branch_covered,project_total_branch_count,feature_snapshot_date,predicted_risk_RandomBaseline,predicted_label_RandomBaseline
2018-08-24,3.0,False,0.0,0.0,0.0,0.0,520.0,1.0,0.0,6.0,0.0,0.0,0.0,239.66666666666663,46.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5682131165104831,0.4085696800155334,0.5275420928295096,0.0,0.0,0.4983132009607202,0.4373511985047945,0.9269546513863052,0.2973045189459601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,40.0,30.0,28.0,0.0,32.0,,0.0,0.0,0.0,0.0,0.0,1475.0,3630.0,15560.0,51017.0,9476.0,33364.0,0.0,0.0,2018-08-23,0.06666666666666667,0
2018-08-25,3.0,False,0.0,0.0,0.0,0.0,172.0,46.0,0.0,8.0,0.0,0.0,0.0,474.3333333333333,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6904196665609433,0.7234090710143715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,40.0,30.0,28.0,0.0,32.0,,0.0,0.0,0.0,0.0,0.0,1492.0,3686.0,15715.0,51983.0,9550.0,33999.0,0.0,0.0,2018-08-24,0.0,0
2018-08-26,1.0,False,0.0,1.0,1.0,1.0,2.0,2.0,9.0,1.0,672.0,0.0,6.0,54.0,2.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,44.0,34.0,31.0,0.0,35.0,,4.0,4.0,3.0,0.0,3.0,1632.0,3686.0,18132.0,51975.0,10799.0,33995.0,0.0,0.0,2018-08-25,0.0,0
2018-08-29,6.0,False,0.0,5.0,6.0,6.0,3179.0,48.0,42.0,18.0,6253.0,0.3685630799506116,36.0,201.0,25.5,96.33333333333331,0.1666666666666666,4.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,35.0,13.0,22.0,48.0,12.0,6.0,6.0,18.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.3937901929464836,0.2542294652344568,1.0,0.0,0.0,0.0,0.8833440229863863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,44.0,36.0,33.0,0.0,35.0,,0.0,0.0,0.0,0.0,0.0,1652.0,3686.0,18759.0,51974.0,11238.0,33994.0,0.0,0.0,2018-08-28,0.0,0
2018-08-30,5.0,False,0.0,4.0,6.0,10.0,97.0,87.0,48.0,14.0,8214.0,0.7394395641100473,10.485714285714286,214.6,19.8,35.6,0.4,6.0,13.0,-7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,17.0,6.0,40.0,20.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,89.0,80.0,9.0,169.0,60.0,54.0,6.0,114.0,2.0,0.0,2.0,2.0,9.0,12.0,-3.0,21.0,11.0,11.0,0.0,22.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,44.0,36.0,33.0,0.0,35.0,,0.0,0.0,0.0,0.0,0.0,1652.0,3686.0,18772.0,51987.0,11247.0,34003.0,0.0,0.0,2018-08-29,0.0,0
2018-08-31,5.0,False,0.0,5.0,35.0,216.0,272652.0,123755.0,38.0,293.0,98359.0,1.3984929657983147,61.80786516853932,179.0,14.0,123.4,0.2,39.0,39.0,0.0,78.0,6.0,5.0,64.0,55.0,0.0,0.0,3.0,0.0,30803.0,12086.0,275.0,105.0,170.0,380.0,3.0,3.0,1382.0,1237.0,145.0,2619.0,432.0,118.0,86.0,32.0,204.0,883.0,698.0,185.0,1581.0,115577.0,71103.0,44474.0,186680.0,39203.0,17373.0,21830.0,56576.0,30160.0,10866.0,19294.0,41026.0,7017.0,6021.0,996.0,13038.0,807.0,696.0,111.0,1503.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,44.0,36.0,33.0,0.0,35.0,,0.0,0.0,0.0,0.0,0.0,1651.0,3686.0,18759.0,51987.0,11236.0,34003.0,0.0,0.0,2018-08-30,0.03333333333333333,0
2018-09-01,3.0,False,0.0,3.0,4.0,5.0,80.0,37.0,48.0,28.0,3821.0,0.4279677014537883,71.33333333333333,27.33333333333333,6.333333333333333,12.333333333333334,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,54.0,12.0,42.0,66.0,13.0,9.0,4.0,22.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,13.0,0.0,0.0,0.0,0.0,0.6328043518741915,0.0,0.0,1.7743117280844225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,44.0,36.0,33.0,0.0,35.0,,0.0,0.0,0.0,0.0,0.0,1651.0,3686.0,18759.0,51987.0,11236.0,34003.0,0.0,0.0,2018-08-31,0.0,0
2018-09-02,1.0,False,0.0,1.0,1.0,4.0,15.0,54.0,29.0,4.0,11520.0,1.4042598208368378,17.0,363.0,66.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,54.0,-39.0,69.0,11.0,25.0,-14.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,212.0,44.0,36.0,33.0,0.0,35.0,,0.0,0.0,0.0,0.0,0.0,1651.0,3686.0,18753.0,51975.0,11238.0,34007.0,0.0,0.0,2018-09-01,0.03333333333333333,0
2018-09-13,10.0,False,0.0,11.0,13.0,15.0,293.0,404.0,85.0,25.0,14059.0,0.3669356939400969,24.2,126.4,34.1,76.6,0.2,3.0,6.0,-3.0,9.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,-5.0,15.0,30.0,1.0,4.0,-3.0,5.0,9.0,10.0,-1.0,19.0,164.0,368.0,-204.0,532.0,60.0,89.0,-29.0,149.0,1.0,2.0,-1.0,3.0,29.0,47.0,-18.0,76.0,3.0,14.0,-11.0,17.0,1.0,0.6246772411770587,0.4032892738650858,2.0,0.0,0.0,0.6686823655075635,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,44.0,36.0,32.0,0.0,35.0,,0.0,0.0,-1.0,0.0,0.0,1651.0,3697.0,18740.0,52052.0,11220.0,34032.0,0.0,0.0,2018-09-12,0.03333333333333333,0
2018-09-14,8.0,False,0.0,8.0,12.0,17.0,313.0,156.0,99.0,21.0,20738.0,0.8381755763297903,19.25,177.0,36.125,106.25,0.25,5.0,2.0,3.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,14.0,34.0,1.0,0.0,1.0,1.0,8.0,4.0,4.0,12.0,311.0,152.0,159.0,463.0,93.0,58.0,35.0,151.0,1.0,1.0,0.0,2.0,42.0,18.0,24.0,60.0,9.0,7.0,2.0,16.0,0.0,0.4147507920531859,0.8032846471896149,2.0,0.0,0.0,0.0,1.0,0.0,0.4274524021229862,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0833333333333333,224.0,44.0,36.0,32.0,0.0,35.0,,0.0,0.0,0.0,0.0,0.0,1651.0,3697.0,18740.0,52052.0,11220.0,34032.0,0.0,0.0,2018-09-13,0.0,0
