label_date,daily_commit_count,y_is_vcc,vcc_commit_count,subsystems_changed,directories_changed,files_changed,lines_added,lines_deleted,ndev,nuc,total_prev_loc,entropy,age,exp,rexp,sexp,is_bug_fix,VCC_s1_nb_added_sizeof,VCC_s2_nb_removed_sizeof,VCC_s3_diff_sizeof,VCC_s4_sum_sizeof,VCC_s5_nb_added_continue,VCC_s6_nb_removed_continue,VCC_s7_nb_added_break,VCC_s8_nb_removed_break,VCC_s9_nb_added_INTMAX,VCC_s10_nb_removed_INTMAX,VCC_s11_nb_added_goto,VCC_s12_nb_removed_goto,VCC_s13_nb_added_define,VCC_s14_nb_removed_define,VCC_s15_nb_added_struct,VCC_s16_nb_removed_struct,VCC_s17_diff_struct,VCC_s18_sum_struct,VCC_s19_nb_added_offset,VCC_s20_nb_removed_offset,VCC_s21_nb_added_void,VCC_s22_nb_removed_void,VCC_s23_diff_void,VCC_s24_sum_void,VCC_f1_sum_file_change,VCC_f2_nb_added_loop,VCC_f3_nb_removed_loop,VCC_f4_diff_loop,VCC_f5_sum_loop,VCC_f6_nb_added_if,VCC_f7_nb_removed_if,VCC_f8_diff_if,VCC_f9_sum_if,VCC_f10_nb_added_line,VCC_f11_nb_removed_line,VCC_f12_diff_line,VCC_f13_sum_line,VCC_f14_nb_added_paren,VCC_f15_nb_removed_paren,VCC_f16_diff_paren,VCC_f17_sum_paren,VCC_f18_nb_added_bool,VCC_f19_nb_removed_bool,VCC_f20_diff_bool,VCC_f21_sum_bool,VCC_f22_nb_added_assignement,VCC_f23_nb_removed_assignement,VCC_f24_diff_assignement,VCC_f25_sum_assignement,VCC_f26_nb_added_function,VCC_f27_nb_removed_function,VCC_f28_diff_function,VCC_f29_sum_function,VCC_w1,VCC_w2,VCC_w3,VCC_w4,VCC_w5,VCC_w6,VCC_w7,VCC_w8,VCC_w9,VCC_w10,changed_files_past_vcc_any_ever,changed_files_past_vcc_any_30d,changed_files_past_vcc_any_90d,changed_files_past_vcc_any_180d,changed_files_past_vcc_count_ever,changed_files_past_vcc_count_30d,changed_files_past_vcc_count_90d,changed_files_past_vcc_count_180d,changed_files_past_vcc_file_ratio_ever,changed_files_time_since_last_vcc_min,project_total_function_percent,project_total_line_percent,project_total_region_percent,project_total_branch_percent,project_total_instantiation_percent,patch_coverage_recalculated,project_total_function_percent_delta,project_total_line_percent_delta,project_total_region_percent_delta,project_total_branch_percent_delta,project_total_instantiation_percent_delta,project_total_function_covered,project_total_function_count,project_total_line_covered,project_total_line_count,project_total_region_covered,project_total_region_count,project_total_branch_covered,project_total_branch_count,feature_snapshot_date,predicted_risk_Kamei,predicted_label_Kamei,predicted_risk_Kamei_Coverage,predicted_label_Kamei_Coverage,predicted_risk_VCCFinder,predicted_label_VCCFinder,predicted_risk_VCCFinder_Coverage,predicted_label_VCCFinder_Coverage,predicted_risk_Coverage,predicted_label_Coverage
2019-03-08,10.0,False,0.0,13.0,23.0,33.0,237.0,15684.0,518.0,421.0,48347.0,1.0515022020299385,7.3083333333333345,1949.9,124.35,428.2,0.5,4.0,3.0,1.0,7.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,66.0,0.0,0.0,0.0,0.0,48.0,84.0,-36.0,132.0,231.0,333.0,-102.0,564.0,138.0,188.0,-50.0,326.0,15.0,41.0,-26.0,56.0,55.0,53.0,2.0,108.0,2.0,0.0,2.0,2.0,1.4197540805260451,0.0,0.0,2.41900711062596,0.0,1.4197540805260451,2.051426087712118,0.0,0.8681303024958531,0.4963363555981553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,689.0,8312.0,18976.0,313448.0,13235.0,683411.0,0.0,0.0,2019-03-07,0.6591111111111111,1,0.44206666666666655,0,0.6100666666666666,1,0.4463777777777779,0,0.3772614967215639,0
2019-03-09,27.0,False,0.0,9.0,9.0,9.0,3134.0,21882.0,329.0,652.0,22198.0,0.0,7.0,1950.1851851851848,115.44444444444444,358.6296296296296,0.2962962962962963,6.0,1.0,5.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,120.0,27.0,12.0,0.0,4.0,1.0,3.0,5.0,0.0,0.0,22.0,16.0,6.0,38.0,18.0,9.0,0.0,9.0,9.0,124.0,58.0,66.0,182.0,750.0,272.0,478.0,1022.0,387.0,157.0,230.0,544.0,51.0,27.0,24.0,78.0,84.0,21.0,63.0,105.0,28.0,22.0,6.0,50.0,5.514600563426871,0.0,0.0,2.0,0.0,5.514600563426871,10.852133236500404,0.0,2.0,0.736234247279713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,8307.0,18966.0,313268.0,13230.0,683379.0,0.0,0.0,2019-03-08,0.6316444444444446,1,0.49300000000000005,0,0.5350222222222222,1,0.39677777777777773,0,0.33047158817332195,0
2019-03-12,11.0,False,0.0,2.0,2.0,6.0,347.0,33.0,48.0,37.0,4746.0,0.1466796235582841,6.181818181818182,2543.2727272727275,38.95454545454545,71.72727272727273,0.3636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,8.0,72.0,10.0,62.0,82.0,18.0,4.0,14.0,22.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,10.0,0.0,0.0,0.0,0.0,2.537500863955163,0.0,1.6214591758907844,1.194092321092846,0.0,2.537500863955163,4.093665143554478,0.0,2.8913859004158766,1.7527489042991098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,7.0,2.0,0.0,1.0,0.4484304932735426,2.0,1.0,1.0,0.0,0.0,845.0,8312.0,23562.0,313517.0,17238.0,675277.0,0.0,0.0,2019-03-11,0.5256444444444444,1,0.4095333333333333,0,0.42837777777777775,0,0.3483111111111111,0,0.4238984104178892,0
2019-03-13,42.0,False,0.0,39.0,87.0,151.0,4552.0,13466.0,1897.0,1178.0,267742.0,0.6459602620705709,35.1896714241252,2298.619047619048,143.66666666666666,685.0238095238095,0.4047619047619047,12.0,0.0,12.0,12.0,0.0,0.0,8.0,13.0,0.0,0.0,18.0,0.0,13.0,3.0,2.0,0.0,2.0,2.0,2.0,0.0,68.0,22.0,46.0,90.0,302.0,4.0,2.0,2.0,6.0,118.0,65.0,53.0,183.0,1356.0,876.0,480.0,2232.0,539.0,287.0,252.0,826.0,32.0,20.0,12.0,52.0,142.0,47.0,95.0,189.0,49.0,17.0,32.0,66.0,8.74345546545769,0.0,0.0,2.325717215682336,0.0,8.74345546545769,17.407230976343186,0.0,0.8524355646160339,3.405466962621742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,7.0,2.0,0.0,1.0,9.448818897637794,-1.0,0.0,0.0,0.0,0.0,815.0,8331.0,22912.0,313683.0,16936.0,675649.0,0.0,0.0,2019-03-12,0.5498444444444445,1,0.5271555555555555,1,0.5302222222222223,1,0.4581777777777777,0,0.45240098559507225,0
2019-03-14,31.0,False,0.0,27.0,65.0,89.0,305.0,374.0,1064.0,125.0,97444.0,0.8037065126148356,23.24069478908189,3398.6451612903224,127.1774193548387,616.8387096774194,0.3548387096774194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,10.0,240.0,338.0,-98.0,578.0,125.0,133.0,-8.0,258.0,32.0,4.0,28.0,36.0,23.0,17.0,6.0,40.0,0.0,0.0,0.0,0.0,6.559584520648747,0.0,1.6214591758907844,0.0,0.0,6.559584520648747,11.442428254610023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0,8326.0,22902.0,313502.0,16931.0,675617.0,0.0,0.0,2019-03-13,0.3658666666666666,0,0.4227333333333333,0,0.42268888888888884,0,0.3698666666666667,0,0.36870403714410427,0
2019-03-17,16.0,False,0.0,6.0,7.0,7.0,11584.0,11290.0,196.0,5687.0,8832.0,0.0621268882173097,18.0625,743.5,124.5,317.0625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,7.0,-4.0,10.0,13.0,26.0,-13.0,39.0,7.0,11.0,-4.0,18.0,3.0,7.0,-4.0,10.0,0.0,4.0,-4.0,4.0,0.0,3.0,-3.0,3.0,4.00797339635816,0.0,0.0,1.4455670474050626,0.0,4.00797339635816,6.731932439663269,0.0,2.356879586810653,3.304364315925304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,8842.0,24543.0,333681.0,18173.0,702502.0,0.0,0.0,2019-03-16,0.5396444444444445,1,0.430511111111111,0,0.39775925925925926,0,0.40924444444444447,0,0.3316682285953546,0
2019-03-18,18.0,False,0.0,2.0,2.0,2.0,169.0,52.0,94.0,24.0,4774.0,0.0,4.388888888888889,685.4444444444445,72.0,24.11111111111111,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-8.0,8.0,0.0,6.0,-6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5968655785988557,0.0,0.0,0.0,0.0,2.5968655785988557,6.744742177756012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,7.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,918.0,8847.0,24550.0,333861.0,18159.0,702275.0,0.0,0.0,2019-03-17,0.5200666666666668,1,0.3086888888888889,0,0.24562063288563288,0,0.3032222222222222,0,0.3316682285953546,0
2019-03-19,19.0,False,0.0,9.0,17.0,24.0,278.0,158.0,776.0,41.0,58761.0,0.3213598608341015,139.88596491228068,498.0,40.36842105263158,168.05263157894737,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,14.0,4.0,10.0,18.0,154.0,46.0,108.0,200.0,52.0,14.0,38.0,66.0,0.0,0.0,0.0,0.0,13.0,22.0,-9.0,35.0,5.0,0.0,5.0,5.0,6.290553063129322,0.0,1.5164378854002276,0.0,0.0,6.290553063129322,9.019808406762962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,7.0,2.0,0.0,1.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,918.0,8848.0,24553.0,333878.0,18162.0,702295.0,0.0,0.0,2019-03-18,0.5466444444444445,1,0.34873333333333334,0,0.46180000000000004,0,0.3875555555555556,0,0.36270646245844135,0
2019-03-20,61.0,False,0.0,41.0,49.0,59.0,1035.0,602.0,1489.0,136.0,255589.0,0.2518000977881311,33.324590163934424,1262.1475409836066,166.7622950819672,458.1803278688525,0.2786885245901639,3.0,6.0,-3.0,9.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,118.0,0.0,0.0,0.0,0.0,48.0,46.0,2.0,94.0,320.0,288.0,32.0,608.0,168.0,141.0,27.0,309.0,10.0,9.0,1.0,19.0,82.0,74.0,8.0,156.0,0.0,0.0,0.0,0.0,17.018296183469403,0.0,0.0,7.228528780404877,0.0,17.018296183469403,32.352831717422305,0.0,5.4357314746407415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,7.0,2.0,0.0,1.0,3.1347962382445136,0.0,0.0,0.0,0.0,0.0,917.0,8849.0,24549.0,333745.0,18185.0,703331.0,0.0,0.0,2019-03-19,0.43513333333333326,0,0.4017555555555556,0,0.5053333333333333,1,0.4214888888888889,0,0.3531369210122332,0
2019-03-21,49.0,False,0.0,32.0,32.0,36.0,1180.0,2200.0,1302.0,118.0,238327.0,0.0258847839258405,26.775510204081638,1479.4897959183672,196.4183673469388,595.7142857142857,0.2857142857142857,20.0,14.0,6.0,34.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,23.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,2.0,10.0,14.0,72.0,16.0,22.0,-6.0,38.0,63.0,76.0,-13.0,139.0,560.0,506.0,54.0,1066.0,291.0,256.0,35.0,547.0,14.0,0.0,14.0,14.0,56.0,56.0,0.0,112.0,14.0,10.0,4.0,24.0,14.20190048530531,0.0,0.8949787095094431,3.1571893636017285,0.0,12.94746262789602,24.010167297940427,0.0,1.886703210372152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,8849.0,24549.0,333761.0,18190.0,703348.0,0.0,0.0,2019-03-20,0.4574,0,0.44542222222222233,0,0.5159333333333334,1,0.4216888888888889,0,0.3316682285953546,0
